drug_name,medical_condition,side_effects,rating,no_of_reviews,drug_classes
insulin isophane / insulin regular,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, chest tightness, feeling like you might pass out, or swelling in your tongue or throat. insulin isophane and insulin regular may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of insulin isophane and insulin regular may include: low blood sugar; weight gain, swelling in your hands or feet; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",9.3,3.0,insulin
myxredlin,diabetes (type 1),"redness, swelling, sweating, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. myxredlin may cause serious side effects. call your doctor at once if you have: low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of myxredlin may include: low blood sugar; swelling in your hands or feet; weight gain; or thickening or hollowing of the skin where you injected the medicine.",unknown,unknown,insulin
humalog mix 50/50,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. humalog mix 50/50 may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of humalog mix 50/50 may include: low blood sugar; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",unknown,unknown,insulin
humalog mix 75/25 kwikpen,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. humalog mix 75/25 kwikpen may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of humalog mix 75/25 kwikpen may include: low blood sugar; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",unknown,unknown,insulin
insulin lispro/insulin lispro protamine,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. insulin lispro and insulin lispro protamine may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of insulin lispro and insulin lispro protamine may include: low blood sugar; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",9.0,2.0,insulin
symlin pen,diabetes (type 1),"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: more common anxiety blurred vision chills cold sweats coma confusion cool pale skin cough depression difficulty with swallowing dizziness fast heartbeat headache hives, itching, or skin rash increased hunger nausea nightmares puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue seizures shakiness slurred speech tightness in the chest unusual tiredness or weakness some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: more common difficulty with moving inflicted injury loss of appetite muscle pain or stiffness pain in the joints stomach pain vomiting weight loss less common body aches or pain congestion dryness or soreness of the throat fever hoarseness runny nose tender, swollen glands in the neck voice changes other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. symlin pen side effects",unknown,unknown,amylin analogs
symlinpen 60,diabetes (type 1),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. symlinpen 60 may cause serious side effects. call your doctor at once if you have: severe ongoing nausea; or severe hypoglycemia--headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. common side effects of symlinpen 60 may include: nausea, vomiting, loss of appetite; or headache.",10.0,1.0,amylin analogs
symlinpen 120,diabetes (type 1),"hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. symlinpen 120 may cause serious side effects. call your doctor at once if you have: severe ongoing nausea; or severe hypoglycemia--headache, dizziness, drowsiness, vision problems, hunger, weakness, sweating, confusion, irritability, fast heart rate, feeling jittery. common side effects of symlinpen 120 may include: nausea, vomiting, loss of appetite; or headache.",10.0,1.0,amylin analogs
humalog mix 50/50 kwikpen,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, fast heartbeats, feeling like you might pass out, or swelling in your tongue or throat. humalog mix 50/50 kwikpen may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of humalog mix 50/50 kwikpen may include: low blood sugar; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",unknown,unknown,insulin
humulin 50/50,diabetes (type 1),"along with its needed effects, a medicine may cause some unwanted effects. although not all of these side effects may occur, if they do occur they may need medical attention. check with your doctor immediately if any of the following side effects occur: incidence not known anxiety bloating or swelling of the face, arms, hands, lower legs, or feet blurred vision chest tightness chills cold sweats coma confusion cool, pale skin cough decreased urine depression difficulty swallowing dizziness dry mouth fast heartbeat headache hives, itching, or rash increased hunger increased thirst irregular heartbeat loss of appetite mood changes muscle pain or cramps nausea or vomiting nightmares numbness or tingling in the hands, feet, or lips puffiness or swelling of the eyelids or around the eyes, face, lips, or tongue rapid weight gain seizures shakiness slurred speech tingling of the hands or feet unusual tiredness or weakness unusual weight gain or loss some side effects may occur that usually do not need medical attention. these side effects may go away during treatment as your body adjusts to the medicine. also, your health care professional may be able to tell you about ways to prevent or reduce some of these side effects. check with your health care professional if any of the following side effects continue or are bothersome or if you have any questions about them: incidence not known weight gain redness, swelling, or itching at the injection site other side effects not listed may also occur in some patients. if you notice any other effects, check with your healthcare professional. call your doctor for medical advice about side effects. you may report side effects to the fda at 1-800-fda-1088. humulin 50/50 side effects",unknown,unknown,insulin
humulin 70/30 pen,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, chest tightness, feeling like you might pass out, or swelling in your tongue or throat. humulin 70/30 kwikpen may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of humulin 70/30 kwikpen may include: low blood sugar; weight gain, swelling in your hands or feet; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",unknown,unknown,insulin
relion/novolin 70/30,diabetes (type 1),"redness or swelling where an injection was given, itchy skin rash over the entire body, trouble breathing, chest tightness, feeling like you might pass out, or swelling in your tongue or throat. relion/novolin 70/30 may cause serious side effects. call your doctor at once if you have: fluid retention --weight gain, swelling in your hands or feet, feeling short of breath; or low potassium --leg cramps, constipation , irregular heartbeats, fluttering in your chest, increased thirst or urination, numbness or tingling, muscle weakness or limp feeling. common side effects of relion/novolin 70/30 may include: low blood sugar; weight gain, swelling in your hands or feet; itching, mild skin rash ; or thickening or hollowing of the skin where you injected the medicine.",9.0,1.0,insulin
